,distributor
0,(주)씨제이이엔엠 CJ ENM Corp.
1,(주)씨제이이엔엠 CJ ENM Corp.
2,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
3,(주)씨제이이엔엠 CJ ENM Corp.
4,(주)씨제이이엔엠 CJ ENM Corp.
5,(주)쇼박스 Showbox Corp
6,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
7,(주)쇼박스 Showbox Corp
8,"주식회사 에이비오엔터테인먼트 ABO Entertainment Co., Ltd."
9,(주)씨제이이엔엠 CJ ENM Corp.
10,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
11,(주)쇼박스 Showbox Corp
12,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
13,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
14,CJ ENM CJ ENM
15,(주)쇼박스 Showbox Corp
16,"(주)시네마서비스 Cinema Service Co.,Ltd."
17,(주)씨제이이엔엠 CJ ENM Corp.
18,(주)쇼박스 Showbox Corp
19,(주)씨제이이엔엠 CJ ENM Corp.
20,(주)씨제이이엔엠 CJ ENM Corp.
21,(주)쇼박스 Showbox Corp
22,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
23,(주)씨제이이엔엠 CJ ENM Corp.
24,(주)씨제이이엔엠 CJ ENM Corp.
25,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
26,(주)쇼박스 Showbox Corp
27,(주)쇼박스 Showbox Corp
28,(주)씨제이이엔엠 CJ ENM Corp.
29,(주)씨제이이엔엠 CJ ENM Corp.
30,워너브러더스 코리아(주) Warner Bros. Korea
31,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
32,(주)씨제이이엔엠 CJ ENM Corp.
33,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
34,(주)씨제이이엔엠 CJ ENM Corp.
35,(주)씨제이이엔엠 CJ ENM Corp.
36,(주)씨제이이엔엠 CJ ENM Corp.
37,(주)쇼박스 Showbox Corp
38,(주)쇼박스 Showbox Corp
39,(주)씨제이이엔엠 CJ ENM Corp.
40,(주)씨제이이엔엠 CJ ENM Corp.
41,(주)쇼박스 Showbox Corp
42,(주)쇼박스 Showbox Corp
43,플러스엠 엔터테인먼트 Plus M Entertainment
44,이십세기폭스코리아(주) 20th Century Fox Korea
45,CJ ENM CJ ENM
46,CJ ENM CJ ENM
47,(주)씨제이이엔엠 CJ ENM Corp.
48,(주)씨제이이엔엠 CJ ENM Corp.
49,(주)쇼박스 Showbox Corp
50,(주)쇼박스 Showbox Corp
51,CJ ENM CJ ENM
52,(주)쇼박스 Showbox Corp
53,CJ ENM CJ ENM
54,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
55,CJ ENM CJ ENM
56,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
57,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
58,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
59,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
60,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
61,(주)씨제이이엔엠 CJ ENM Corp.
62,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
63,(주)쇼박스 Showbox Corp
64,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
65,(주)씨제이이엔엠 CJ ENM Corp.
66,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
67,(주)씨제이이엔엠 CJ ENM Corp.
68,CJ ENM CJ ENM
69,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
70,(주)쇼박스 Showbox Corp
71,(주)씨제이이엔엠 CJ ENM Corp.
72,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
73,CGV아트하우스 CGV ARTHOUSE
74,(주)쇼박스 Showbox Corp
75,(주)쇼박스 Showbox Corp
76,(주)쇼박스 Showbox Corp
77,(주)쇼박스 Showbox Corp
78,(주)쇼박스 Showbox Corp
79,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
80,(주)씨제이이엔엠 CJ ENM Corp.
81,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
82,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
83,(주)씨제이이엔엠 CJ ENM Corp.
84,(주)쇼박스 Showbox Corp
85,(주)씨제이이엔엠 CJ ENM Corp.
86,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
87,(주)씨제이이엔엠 CJ ENM Corp.
88,플러스엠 엔터테인먼트 Plus M Entertainment
89,CJ ENM CJ ENM
90,(주)씨제이이엔엠 CJ ENM Corp.
91,(주)쇼박스 Showbox Corp
92,(주)쇼박스 Showbox Corp
93,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
94,(주)씨제이이엔엠 CJ ENM Corp.
95,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
96,(주)싸이더스 Sidus Corporation
97,(주)쇼박스 Showbox Corp
98,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
99,(주)쇼박스 Showbox Corp
100,(주)쇼박스 Showbox Corp
101,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
102,(주)씨제이이엔엠 CJ ENM Corp.
103,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
104,(주)쇼박스 Showbox Corp
105,(주)씨제이이엔엠 CJ ENM Corp.
106,(주)쇼박스 Showbox Corp
107,CJ ENM CJ ENM
108,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
109,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
110,(주)와우픽쳐스 WAW pictures
111,(주)쇼박스 Showbox Corp
112,CJ ENM CJ ENM
113,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
114,(주)쇼박스 Showbox Corp
115,(주)씨제이이엔엠 CJ ENM Corp.
116,(주)씨제이이엔엠 CJ ENM Corp.
117,(주)쇼박스 Showbox Corp
118,(주)에이스메이커무비웍스 ACEMAKER MOVIEWORKS
119,CJ ENM CJ ENM
120,CJ ENM CJ ENM
121,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
122,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
123,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
124,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
125,워너브러더스 코리아(주) Warner Bros. Korea
126,(주)씨제이이엔엠 CJ ENM Corp.
127,"(주)시네마서비스 Cinema Service Co.,Ltd."
128,(주)씨제이이엔엠 CJ ENM Corp.
129,CJ ENM CJ ENM
130,"아이러브시네마 i Love Cinema co., ltd."
131,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
132,(주)쇼박스 Showbox Corp
133,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
134,CJ ENM CJ ENM
135,(주)씨제이이엔엠 CJ ENM Corp.
136,CJ ENM CJ ENM
137,(주)씨제이이엔엠 CJ ENM Corp.
138,CJ ENM CJ ENM
139,CJ ENM CJ ENM
140,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
141,CJ ENM CJ ENM
142,(주)인벤트스톤 Invent Stone corp
143,(주)쇼박스 Showbox Corp
144,㈜인디스토리 INDIESTORY Inc.
145,(주)쇼박스 Showbox Corp
146,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
147,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
148,(주)쇼박스 Showbox Corp
149,(주)씨제이이엔엠 CJ ENM Corp.
150,플러스엠 엔터테인먼트 Plus M Entertainment
151,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
152,(주)쇼박스 Showbox Corp
153,CJ ENM CJ ENM
154,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
155,CJ ENM CJ ENM
156,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
157,(주)쇼박스 Showbox Corp
158,(주)씨제이이엔엠 CJ ENM Corp.
159,(주)쇼박스 Showbox Corp
160,CJ ENM CJ ENM
161,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
162,(주)씨제이이엔엠 CJ ENM Corp.
163,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
164,(주)쇼박스 Showbox Corp
165,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
166,(주)씨제이이엔엠 CJ ENM Corp.
167,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
168,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
169,CJ ENM CJ ENM
170,(주)다자인소프트
171,CJ ENM CJ ENM
172,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
173,CJ ENM CJ ENM
174,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
175,(주)씨제이이엔엠 CJ ENM Corp.
176,(주)에이스메이커무비웍스 ACEMAKER MOVIEWORKS
177,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
178,(주)프라임엔터테인먼트 Prime Entertainment
179,(주)쇼박스 Showbox Corp
180,필라멘트픽쳐스 Filament Pictures
181,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
182,오퍼스픽쳐스(유) OPUS Pictures
183,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
184,(주)씨제이이엔엠 CJ ENM Corp.
185,(주)쇼박스 Showbox Corp
186,(주)쇼박스 Showbox Corp
187,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
188,(주)넥스트엔터테인먼트월드(NEW) Next Entertainment World
189,플러스엠 엔터테인먼트 Plus M Entertainment
190,CJ ENM CJ ENM
191,CJ ENM CJ ENM
192,CJ ENM CJ ENM
193,(주)싸이더스 Sidus Corporation
194,(주)쇼박스 Showbox Corp
195,(주)씨제이이엔엠 CJ ENM Corp.
196,롯데컬처웍스(주)롯데엔터테인먼트 Lotte Entertainment
197,CJ ENM CJ ENM
198,"롯데쇼핑㈜롯데엔터테인먼트 Lotte shopping Lotte Entertainment Co.,Ltd"
199,(주)쇼박스 Showbox Corp
